번호,구경,목지름,견부각,기고,실용량,복원용량,용량잔차
1,12.26,11.39,73.7,22.79,2.85,1.69904,1.15096
2,10.19,9.38,71.12,20.61,1.99,1.02368,0.96632
3,8.85,8.1,61.75,12.97,1.17,0.5936,0.5764
4,6.07,5.78,73.86,8.94,0.18,-0.18592,0.36592
5,11.81,11.02,68.55,19.13,1.9,1.57472,0.32528
6,6.76,6.3,70.16,10.64,0.28,-0.0112,0.2912
7,6.88,6.76,69.19,10.78,0.42,0.14336,0.27664
8,6.34,6.36,82.83,7.48,0.14,0.00896,0.13104
9,7.92,7.76,73.47,12.64,0.54,0.47936,0.06064
10,8.11,7.92,74.88,12.44,0.5,0.53312,-0.03312
11,8.14,7.98,67.62,10.97,0.51,0.55328,-0.04328
12,10.22,9.3,75.58,14.09,0.9,0.9968,-0.0968
13,7.78,7.5,73.13,8.35,0.28,0.392,-0.112
14,10.76,10.5,65.58,15.4,1.26,1.4,-0.14
15,10.14,9.77,72.83,14.1,1.01,1.15472,-0.14472
16,9.03,8.62,70.93,12.23,0.62,0.76832,-0.14832
17,8.48,8.09,78.58,11.77,0.44,0.59024,-0.15024
18,8.89,8.64,72.41,11.85,0.61,0.77504,-0.16504
19,8.98,8.76,71.05,11.75,0.61,0.81536,-0.20536
20,7.63,7.78,77.87,8.43,0.28,0.48608,-0.20608
21,9.32,8.47,82.43,10.02,0.37,0.71792,-0.34792
22,8.89,8.52,84.54,9.93,0.37,0.73472,-0.36472
23,9.21,9.06,78.08,10.78,0.49,0.91616,-0.42616
24,9.39,9.03,76.3,10.17,0.47,0.90608,-0.43608
25,10.61,9.56,84.01,11.23,0.52,1.08416,-0.56416
26,11.02,10.18,84.68,11.89,0.7,1.29248,-0.59248